Designator,Mid X,Mid Y,Rotation,Layer
C1,15.125,16.55,0.0,top
C2,11.5,5.8,180.0,top
J1,18.9,14.78,0.0,top
Q1,13.55,14.3375,90.0,bottom
Q4,13.3,9.1,0.0,bottom
R1,11.6,8.05,180.0,top
R10,16.2,8.9,270.0,bottom
R13,16.2,15.825,90.0,bottom
R14,13.2,6.4,0.0,bottom
R2,11.55,10.05,180.0,top
R3,11.5,12.05,180.0,top
R4,11.725,18.45,0.0,top
R5,15.175,18.45,180.0,top
R6,11.5,3.8,180.0,top
R7,14.8,3.8,0.0,top
R9,16.2,12.5,90.0,bottom
U1,6.65,11.05,180.0,top
